;oikein;prs-taiv-muoto;partisiippi liittomuodossa;kieltoverbi;infinitiivi;partisiippi ei liittom.;minen;muu teonnimi;hukassa
Vuosi;0;;;;;;;;1
ilman;0;;;;;;;;1
lihaa;0;;;;;;;;1
Ihminen;0;;;;;;;;1
on ;1;1;;;;;;;
syntynyt;1;;1;;;;;;
syömään;1;;;;1;;;;
lihaa.;0;;;;;;;;1
mutta;0;;;;;;;;1
jo ;0;;;;;;;;1
aikojen;0;;;;;;;;1
alusta;0;;;;;;;;1
on ;1;1;;;;;;;
syntynyt ;1;;1;;;;;;
aatteita,;0;;;;;;;;1
joiden;0;;;;;;;;1
takia;0;;;;;;;;1
ihmiset;0;;;;;;;;1
ovat;1;1;;;;;;;
lopettaneet;1;;1;;;;;;
lihan;0;;;;;;;;1
syömisen.;0;;;;;;1;;1
nyt;0;;;;;;;;1
kasvissyönti;0;;;;;;;1;
on ;1;1;;;;;;;
suositumpaa;0;;;;;;;;1
kuin;0;;;;;;;;1
koskaan.;0;;;;;;;;1
Sitä;0;;;;;;;;1
perustellaan;1;1;;;;;;;
eläinten;0;;;;;;;;1
kohtelulla,;0;;;;;;;1;
ekologialla;0;;;;;;;;1
ja ;0;;;;;;;;1
terveydellä.;0;;;;;;;;1
Kuukausiliitteen;0;;;;;;;;1
toimittaja;0;;;;;;;;1
Jouni;0;;;;;;;;1
K;0;;;;;;;;1
Kemppainen;0;;;;;;;;1
päätti;1;1;;;;;;;
lopettaa;1;;;;1;;;;
lihan ;0;;;;;;;;1
syömisen;0;;;;;;1;;
vuosi ;0;;;;;;;;1
sitten.;0;;;;;;;;1
nyt;0;;;;;;;;1
hän;0;;;;;;;;1
kertoo,;1;1;;;;;;;
miten;0;;;;;;;;1
meni.;1;1;;;;;;;
Vuosi;0;;;;;;;;1
sitten ;0;;;;;;;;1
lopetin;1;1;;;;;;;
lihan ;0;;;;;;;;1
syömisen.;0;;;;;;1;;
-- Vuoden;0;;;;;;;;1
aikana;0;;;;;;;;1
olen;1;1;;;;;;;
