;oikein;prs-taiv-muoto;partisiippi liittomuodossa;kieltoverbi;infinitiivi;partisiippi ei liittom.;minen;muu teonnimi;hukassa;;;
Vuosi;FALSE;;;;;;;;1;;1;0
ilman;FALSE;;;;;;;;1;;1;0
lihaa;FALSE;;;;;;;;1;;1;0
Ihminen;FALSE;;;;;;;;1;;1;0
on ;TRUE;1;;;;;;;;;0;1
syntynyt;TRUE;;1;;;;;;;;0;1
syömään;TRUE;;;;1;;;;;;0;1
lihaa.;FALSE;;;;;;;;1;;1;0
mutta;FALSE;;;;;;;;1;;1;0
jo ;FALSE;;;;;;;;1;;1;0
aikojen;FALSE;;;;;;;;1;;1;0
alusta;FALSE;;;;;;;;1;;1;0
on ;TRUE;1;;;;;;;;;0;1
syntynyt ;TRUE;;1;;;;;;;;0;1
aatteita,;FALSE;;;;;;;;1;;1;0
joiden;FALSE;;;;;;;;1;;1;0
takia;FALSE;;;;;;;;1;;1;0
ihmiset;FALSE;;;;;;;;1;;1;0
ovat;TRUE;1;;;;;;;;;0;1
lopettaneet;TRUE;;1;;;;;;;;0;1
lihan;FALSE;;;;;;;;1;;1;0
syömisen.;FALSE;;;;;;1;;;;1;0
nyt;FALSE;;;;;;;;1;;1;0
kasvissyönti;FALSE;;;;;;;1;;;1;0
on ;TRUE;1;;;;;;;;;0;1
suositumpaa;FALSE;;;;;;;;1;;1;0
kuin;FALSE;;;;;;;;1;;1;0
koskaan.;FALSE;;;;;;;;1;;1;0
Sitä;FALSE;;;;;;;;1;;1;0
perustellaan;TRUE;1;;;;;;;;;0;1
eläinten;FALSE;;;;;;;;1;;1;0
kohtelulla,;FALSE;;;;;;;1;;;1;0
ekologialla;FALSE;;;;;;;;1;;1;0
ja ;FALSE;;;;;;;;1;;1;0
terveydellä.;FALSE;;;;;;;;1;;1;0
Kuukausiliitteen;FALSE;;;;;;;;1;;1;0
toimittaja;FALSE;;;;;;;;1;;1;0
Jouni;FALSE;;;;;;;;1;;1;0
K;FALSE;;;;;;;;1;;1;0
Kemppainen;FALSE;;;;;;;;1;;1;0
päätti;TRUE;1;;;;;;;;;0;1
lopettaa;TRUE;;;;1;;;;;;0;1
lihan ;FALSE;;;;;;;;1;;1;0
syömisen;FALSE;;;;;;1;;;;1;0
vuosi ;FALSE;;;;;;;;1;;1;0
sitten.;FALSE;;;;;;;;1;;1;0
nyt;FALSE;;;;;;;;1;;1;0
hän;FALSE;;;;;;;;1;;1;0
kertoo,;TRUE;1;;;;;;;;;0;1
miten;FALSE;;;;;;;;1;;1;0
meni.;TRUE;1;;;;;;;;;0;1
Vuosi;FALSE;;;;;;;;1;;1;0
sitten ;FALSE;;;;;;;;1;;1;0
lopetin;TRUE;1;;;;;;;;;0;1
lihan ;FALSE;;;;;;;;1;;1;0
syömisen.;FALSE;;;;;;1;;;;1;0
-- Vuoden;FALSE;;;;;;;;1;;1;0
aikana;FALSE;;;;;;;;1;;1;0
olen;TRUE;1;;;;;;;;;0;1
syönyt;TRUE;;1;;;;;;;;0;1
lihaa;FALSE;;;;;;;;1;;1;0
tietääkseni;TRUE;;;;1;;;;;;0;1
viisi;FALSE;;;;;;;;1;;1;0
kertaa.;FALSE;;;;;;;;1;;1;0
Kolmesti;FALSE;;;;;;;;1;;1;0
niin;FALSE;;;;;;;;1;;1;0
tapahtui;TRUE;1;;;;;;;;;0;1
tarkoituksella,;FALSE;;;;;;;;1;;1;0
työn;FALSE;;;;;;;;1;;1;0
